instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
14536962,56785,NIFTY25JUNFUT,NIFTY,0,2025-06-26,0.0,0.1,75,FUT,NFO-FUT,NFO
13623298,53216,NIFTY25JULFUT,NIFTY,0,2025-07-31,0.0,0.1,75,FUT,NFO-FUT,NFO
16410370,64103,NIFTY25AUGFUT,NIFTY,0,2025-08-28,0.0,0.1,75,FUT,NFO-FUT,NFO
14536194,56782,BANKNIFTY25JUNFUT,BANKNIFTY,0,2025-06-26,0.0,0.2,30,FUT,NFO-FUT,NFO
13622530,53213,BANKNIFTY25JULFUT,BANKNIFTY,0,2025-07-31,0.0,0.2,35,FUT,NFO-FUT,NFO
16409602,64100,BANKNIFTY25AUGFUT,BANKNIFTY,0,2025-08-28,0.0,0.2,35,FUT,NFO-FUT,NFO
14537474,56787,AARTIIND25JUNFUT,AARTIIND,0,2025-06-26,0.0,0.05,1000,FUT,NFO-FUT,NFO
13623810,53218,AARTIIND25JULFUT,AARTIIND,0,2025-07-31,0.0,0.05,1325,FUT,NFO-FUT,NFO
14537730,56788,ABB25JUNFUT,ABB,0,2025-06-26,0.0,0.5,125,FUT,NFO-FUT,NFO
13624066,53219,ABB25JULFUT,ABB,0,2025-07-31,0.0,0.5,125,FUT,NFO-FUT,NFO
16410882,64105,ABB25AUGFUT,ABB,0,2025-08-28,0.0,0.5,125,FUT,NFO-FUT,NFO
14537986,56789,ABCAPITAL25JUNFUT,ABCAPITAL,0,2025-06-26,0.0,0.01,2700,FUT,NFO-FUT,NFO
13624322,53220,ABCAPITAL25JULFUT,ABCAPITAL,0,2025-07-31,0.0,0.01,3100,FUT,NFO-FUT,NFO
16411138,64106,ABCAPITAL25AUGFUT,ABCAPITAL,0,2025-08-28,0.0,0.01,3100,FUT,NFO-FUT,NFO
14539266,56794,ABFRL25JUNFUT,ABFRL,0,2025-06-26,0.0,0.05,2600,FUT,NFO-FUT,NFO
13624578,53221,ABFRL25JULFUT,ABFRL,0,2025-07-31,0.0,0.05,2600,FUT,NFO-FUT,NFO
16411394,64107,ABFRL25AUGFUT,ABFRL,0,2025-08-28,0.0,0.05,2600,FUT,NFO-FUT,NFO
14539522,56795,ACC25JUNFUT,ACC,0,2025-06-26,0.0,0.1,300,FUT,NFO-FUT,NFO
